"start","end","year","ships","days"
"Constantinople","Tana",1395,1,14
"Tana","Caffa",1395,1,2
"Venice","Alexandrie",1395,3,20
"Alexandrie","Crete",1395,3,1
"Crete","Coron",1395,3,1
"Coron","Modon",1395,3,1
"Modon","Romanie",1395,3,1
"Venice","Beyrouth",1395,2,28
"Beyrouth","Jaffa",1395,2,10
"Jaffa","Laodicée",1395,2,1
"Laodicée","Negrepont",1395,2,1
"Negrepont","Coron",1395,2,1
"Coron","Modon",1395,2,1
"Modon","Romanie",1395,2,1
"Venice","Beyrouth",1395,1,28
"Beyrouth","Acre",1395,1,1
"Acre","Laodicée",1395,1,1
"Laodicée","Negrepont",1395,1,1
"Negrepont","Coron",1395,1,1
"Coron","Modon",1395,1,1
"Modon","Romanie",1395,1,1
"Venice","Beyrouth",1395,2,28
"Beyrouth","Laodicée",1395,2,1
"Laodicée","Negrepont",1395,2,1
"Negrepont","Coron",1395,2,1
"Coron","Modon",1395,2,1
"Modon","Romanie",1395,2,1
"Venice","Constantinople",1396,2,2
"Constantinople","Tana",1396,2,10
"Tana","Trebizonde",1396,2,5
"Venice","Alexandrie",1396,3,20
"Venice","Beyrouth",1396,2,28
"Beyrouth","Jaffa",1396,2,1
"Venice","Beyrouth",1396,1,28
"Beyrouth","Laodicée",1396,1,1
"Venice","Beyrouth",1396,2,28
"Venice","Malaga",1396,2,3
"Malaga","Sicily",1396,2,4
"Sicily","Caput.Doble",1396,2,1
"Caput.Doble","Flanders",1396,2,1
"Flanders","Sluis",1396,2,1
"Sluis","Sicily",1396,2,1
"Sicily","Corfou",1396,2,1
"Corfou","SJacques",1396,2,1
"Venice","Malaga",1396,2,3
"Malaga","Sicily",1396,2,4
"Sicily","Caput.Doble",1396,2,1
"Caput.Doble","London",1396,2,50
"London","Sicily",1396,2,4
"Sicily","Corfou",1396,2,1
"Corfou","SJacques",1396,2,1
"Venice","Malaga",1396,2,3
"Malaga","Sicily",1396,2,4
"Sicily","Caput.Doble",1396,2,1
"Caput.Doble","Flanders",1396,2,1
"Flanders","Bruges",1396,2,1
"Bruges","Sicily",1396,2,4
"Sicily","Corfou",1396,2,1
"Venice","Modon",1397,3,1
"Modon","Coron",1397,3,1
"Coron","Corfou",1397,3,1
"Corfou","Crete",1397,3,1
"Crete","Alexandrie",1397,3,20
"Venice","Corfou",1397,3,1
"Corfou","Beyrouth",1397,3,1
"Beyrouth","Damas",1397,3,1
"Venice","Corfou",1397,2,1
"Corfou","Beyrouth",1397,2,1
"Beyrouth","Jaffa",1397,2,1
"Jaffa","Acre",1397,2,12
"Acre","Laodicée",1397,2,1
"Laodicée","Beyrouth",1397,2,1
"Venice","Constantinople",1397,2,2
"Constantinople","Tana",1397,2,10
"Tana","Black.Sea",1397,2,2
"Black.Sea","Trebizonde",1397,2,5
"Venice","Majorque",1397,2,1
"Majorque","Lisbon",1397,2,2
"Lisbon","Caput.Doble",1397,2,1
"Caput.Doble","London",1397,2,50
"Venice","Majorque",1397,2,1
"Majorque","Lisbon",1397,2,2
"Lisbon","Flanders",1397,2,1
"Flanders","Sluis",1397,2,50
"Venice","Alexandrie",1397,1,1
"Venice","Sicily",1398,2,4
"Sicily","Majorque",1398,2,3
"Majorque","Caput.Doble",1398,2,1
"Caput.Doble","Portus.Camere",1398,2,1
"Portus.Camere","Sluis",1398,2,50
"Sluis","Sicily",1398,2,4
"Sicily","Syracuse",1398,2,1
"Venice","Sicily",1398,2,4
"Sicily","Majorque",1398,2,3
"Majorque","Caput.Doble",1398,2,1
"Caput.Doble","Portus.Camere",1398,2,1
"Portus.Camere","London",1398,2,50
"London","Sicily",1398,2,4
"Sicily","Syracuse",1398,2,1
"Venice","Crete",1398,3,2
"Crete","Alexandrie",1398,3,20
"Alexandrie","Coron",1398,3,1
"Coron","Modon",1398,3,1
"Modon","Romanie",1398,3,1
"Venice","Cap.Malee",1398,5,1
"Cap.Malee","Negrepont",1398,5,2
"Negrepont","Beyrouth",1398,5,1
"Beyrouth","Tripoli.Syria",1398,5,1
"Tripoli.Syria","Laodicée",1398,5,1
"Laodicée","Jaffa",1398,5,1
"Jaffa","Acre",1398,5,1
"Acre","Beyrouth",1398,5,1
"Beyrouth","Coron",1398,5,1
"Coron","Modon",1398,5,1
"Modon","Romanie",1398,5,1
"Venice","Modon",1398,1,4
"Modon","Corfou",1398,1,1
"Venice","Modon",1398,2,1
"Modon","Beyrouth",1398,2,8
"Venice","Coron",1399,4,1
"Coron","Beyrouth",1399,4,28
"Beyrouth","Tripoli.Syria",1399,4,1
"Venice","Coron",1399,1,1
"Coron","Beyrouth",1399,1,28
"Beyrouth","Tripoli.Syria",1399,1,1
"Tripoli.Syria","Laodicée",1399,1,1
"Venice","Modon",1399,1,1
"Modon","Beyrouth",1399,1,4
"Venice","Coron",1399,2,1
"Coron","Beyrouth",1399,2,1
"Beyrouth","Alexandrie",1399,2,20
"Alexandrie","Modon",1399,2,1
"Modon","Coron",1399,2,1
"Coron","Corfou",1399,2,1
"Venice","Coron",1399,1,1
"Coron","Beyrouth",1399,1,1
"Beyrouth","Alexandrie",1399,1,20
"Alexandrie","Jerusalem",1399,1,1
"Jerusalem","Modon",1399,1,1
"Modon","Coron",1399,1,1
"Coron","Corfou",1399,1,1
"Venice","Majorque",1399,3,3
"Majorque","Caput.Doble",1399,3,1
"Caput.Doble","Portus.Camere",1399,3,1
"Portus.Camere","Sluis",1399,3,50
"Venice","Majorque",1399,2,3
"Majorque","Caput.Doble",1399,2,1
"Caput.Doble","Portus.Camere",1399,2,1
"Portus.Camere","London",1399,2,50
"Venice","Pula",1399,2,1
"Pula","Negrepont",1399,2,1
"Negrepont","Tenedos",1399,2,1
"Tenedos","Constantinople",1399,2,2
"Constantinople","Black.Sea",1399,2,2
"Black.Sea","Tana",1399,2,10
"Tana","Trebizonde",1399,2,5
"Trebizonde","Coron",1399,2,1
"Coron","Modon",1399,2,1
"Venice","Pula",1400,1,1
"Pula","Modon",1400,1,1
"Modon","Beyrouth",1400,1,4
"Venice","Malaga",1400,2,1
"Malaga","Sicily",1400,2,4
"Sicily","Caput.Doble",1400,2,1
"Caput.Doble","London",1400,2,50
"London","Malaga",1400,2,1
"Venice","Malaga",1400,3,1
"Malaga","Sicily",1400,3,4
"Sicily","Caput.Doble",1400,3,1
"Caput.Doble","Sluis",1400,3,50
"Sluis","Malaga",1400,3,1
"Venice","Beyrouth",1400,3,1
"Beyrouth","Jerusalem",1400,3,20
"Venice","Beyrouth",1400,2,28
"Venice","Beyrouth",1400,1,28
"Beyrouth","Laodicée",1400,1,1
"Venice","Beyrouth",1400,1,28
"Beyrouth","Tripoli.Syria",1400,1,1
"Venice","Corfou",1400,1,1
"Corfou","Modon",1400,1,1
"Modon","Negrepont",1400,1,8
"Negrepont","Modon",1400,1,1
"Modon","Corfou",1400,1,1
"Venice","Jaffa",1400,2,1
"Venice","Corfou",1400,1,1
"Corfou","Coron",1400,1,2
"Coron","Modon",1400,1,4
"Modon","Chios",1400,1,1
"Chios","Constantinople",1400,1,4
"Constantinople","Tana",1400,1,1
"Venice","Corfou",1400,1,1
"Corfou","Coron",1400,1,2
"Coron","Modon",1400,1,4
"Modon","Chios",1400,1,1
"Chios","Constantinople",1400,1,4
"Constantinople","Caffa",1400,1,1
"Caffa","Tana",1400,1,1
"Tana","Caffa",1400,1,1
"Caffa","Constantinople",1400,1,1
"Venice","Modon",1400,1,2
"Modon","Coron",1400,1,2
"Coron","Crete",1400,1,4
"Crete","Alexandrie",1400,1,1
"Venice","Modon",1401,1,1
"Modon","Corfou",1401,1,1
"Corfou","Cap.Malee",1401,1,1
"Cap.Malee","Crete",1401,1,6
"Venice","Modon",1401,1,1
"Modon","Corfou",1401,1,1
"Corfou","Cap.Malee",1401,1,1
"Cap.Malee","Negrepont",1401,1,6
"Venice","Alexandrie",1401,2,20
"Venice","Corfou",1401,1,1
"Corfou","Modon",1401,1,1
"Modon","Alexandrie",1401,1,20
"Venice","Ragusa",1401,3,1
"Ragusa","Coron",1401,3,1
"Coron","Modon",1401,3,1
"Modon","Corfou",1401,3,1
"Corfou","Crete",1401,3,6
"Venice","Malaga",1401,3,3
"Malaga","Caput.Doble",1401,3,1
"Caput.Doble","Flanders",1401,3,1
"Flanders","Sluis",1401,3,1
"Venice","Malaga",1401,2,3
"Malaga","Caput.Doble",1401,2,1
"Caput.Doble","Flanders",1401,2,1
"Flanders","London",1401,2,1
"London","Trebizonde",1401,2,1
"Trebizonde","Tana",1401,2,1
"Tana","Constantinople",1401,2,1
"Venice","Corfou",1401,1,4
"Corfou","Crete",1401,1,8
"Crete","Chios",1401,1,1
"Chios","Constantinople",1401,1,3
"Venice","Coron",1401,2,2
"Coron","Modon",1401,2,1
"Modon","Chios",1401,2,1
"Chios","Constantinople",1401,2,4
"Constantinople","Trebizonde",1401,2,1
"Trebizonde","Tana",1401,2,1
"Tana","Constantinople",1401,2,1
"Venice","Pula",1402,3,1
"Pula","Aigues.Mortes",1402,3,2
"Aigues.Mortes","Malaga",1402,3,1
"Malaga","Sicily",1402,3,4
"Sicily","Caput.Doble",1402,3,1
"Caput.Doble","Flanders",1402,3,1
"Flanders","Bruges",1402,3,1
"Venice","Pula",1402,2,1
"Pula","Malaga",1402,2,1
"Malaga","Sicily",1402,2,4
"Sicily","Caput.Doble",1402,2,1
"Caput.Doble","London",1402,2,1
"Venice","Pula",1402,1,1
"Pula","Malaga",1402,1,1
"Malaga","Sicily",1402,1,4
"Sicily","Caput.Doble",1402,1,1
"Caput.Doble","Sandwich",1402,1,1
"Sandwich","London",1402,1,1
"Venice","Pula",1402,1,1
"Pula","Aigues.Mortes",1402,1,2
"Aigues.Mortes","Malaga",1402,1,1
"Malaga","Sicily",1402,1,4
"Sicily","Caput.Doble",1402,1,1
"Caput.Doble","Sandwich",1402,1,1
"Sandwich","Bruges",1402,1,3
"Venice","Pula",1402,1,1
"Venice","Crete",1402,1,1
"Crete","Beyrouth",1402,1,24
"Beyrouth","Tripoli.Syria",1402,1,1
"Tripoli.Syria","Beyrouth",1402,1,1
"Venice","Beyrouth",1402,1,24
"Beyrouth","Tripoli.Syria",1402,1,1
"Tripoli.Syria","Laodicée",1402,1,1
"Laodicée","Beyrouth",1402,1,1
"Venice","Modon",1402,5,22
"Modon","Negrepont",1402,5,6
"Negrepont","Modon",1402,5,1
"Modon","Corfou",1402,5,1
"Corfou","Tenedos",1402,5,1
"Tenedos","Constantinople",1402,5,4
"Constantinople","Trebizonde",1402,5,1
"Trebizonde","Tana",1402,5,1
"Venice","Corfou",1402,3,4
"Corfou","Crete",1402,3,8
"Crete","Chios",1402,3,1
"Venice","Jaffa",1403,1,1
"Jaffa","Rama",1403,1,1
"Rama","Cyprus",1403,1,1
"Cyprus","Rhodes",1403,1,1
"Venice","Modon",1403,1,2
"Modon","Constantinople",1403,1,2
"Constantinople","Crete",1403,1,4
"Crete","Alexandrie",1403,1,1
"Venice","Corfou",1403,2,2
"Corfou","Coron",1403,2,2
"Coron","Modon",1403,2,2
"Modon","Negrepont",1403,2,1
"Negrepont","Constantinople",1403,2,2
"Constantinople","Tana",1403,2,12
"Tana","Caffa",1403,2,1
"Caffa","Trebizonde",1403,2,5
"Venice","Sicily",1403,2,1
"Sicily","Aigues.Mortes",1403,2,5
"Aigues.Mortes","Pise",1403,2,1
"Pise","Gaete",1403,2,1
"Gaete","Napoli",1403,2,1
"Napoli","Genoa",1403,2,1
"Genoa","Savona",1403,2,1
"Savona","Catalugna",1403,2,1
"Venice","Modon",1403,2,1
"Modon","Jaffa",1403,2,1
"Jaffa","Rhodes",1403,2,1
"Rhodes","Beyrouth",1403,2,1
"Venice","Jaffa",1403,1,1
"Venice","Caput.Doble",1404,4,1
"Caput.Doble","Portus.Camere",1404,4,1
"Portus.Camere","Flanders",1404,4,1
"Flanders","Sluis",1404,4,50
"Sluis","London",1404,4,50
"Venice","Modon",1404,2,1
"Modon","Coron",1404,2,1
"Coron","Alexandrie",1404,2,20
"Venice","Modon",1404,2,1
"Modon","Coron",1404,2,1
"Coron","Rhodes",1404,2,1
"Rhodes","Beyrouth",1404,2,28
"Venice","Modon",1404,1,1
"Modon","Coron",1404,1,1
"Coron","Rhodes",1404,1,1
"Rhodes","Beyrouth",1404,1,28
"Beyrouth","Damas",1404,1,5
"Venice","Corfou",1404,2,1
"Corfou","Modon",1404,2,1
"Modon","Coron",1404,2,1
"Coron","Negrepont",1404,2,2
"Negrepont","Constantinople",1404,2,1
"Constantinople","Tana",1404,2,12
"Tana","Trebizonde",1404,2,5
"Trebizonde","Caffa",1404,2,1
"Venice","Modon",1404,1,2
"Modon","Coron",1404,1,2
"Coron","Crete",1404,1,4
"Crete","Alexandrie",1404,1,1
"Venice","Crete",1405,2,1
"Crete","Beyrouth",1405,2,28
"Beyrouth","Tripoli.Syria",1405,2,1
"Tripoli.Syria","Laodicée",1405,2,1
"Laodicée","Tripoli.Syria",1405,2,1
"Tripoli.Syria","Beyrouth",1405,2,1
"Venice","Crete",1405,1,1
"Crete","Beyrouth",1405,1,1
"Venice","Crete",1405,3,1
"Crete","Alexandrie",1405,3,20
"Venice","Modon",1405,1,1
"Modon","Negrepont",1405,1,6
"Negrepont","Coron",1405,1,1
"Coron","Modon",1405,1,1
"Venice","Messine",1406,4,1
"Messine","Palerme",1406,4,1
"Palerme","Majorque",1406,4,1
"Majorque","Lisbon",1406,4,1
"Lisbon","Caput.Doble",1406,4,1
"Caput.Doble","Portus.Camere",1406,4,1
"Portus.Camere","Flanders",1406,4,1
"Flanders","Sluis",1406,4,1
"Venice","Beyrouth",1406,1,28
"Beyrouth","Tripoli.Syria",1406,1,1
"Tripoli.Syria","Laodicée",1406,1,1
"Laodicée","Tripoli.Syria",1406,1,1
"Tripoli.Syria","Beyrouth",1406,1,1
"Venice","Beyrouth",1406,3,28
"Beyrouth","Laodicée",1406,3,1
"Laodicée","Tripoli.Syria",1406,3,1
"Tripoli.Syria","Beyrouth",1406,3,1
"Venice","Alexandrie",1406,3,20
"Venice","Corfou",1406,2,1
"Corfou","Modon",1406,2,1
"Modon","Coron",1406,2,1
"Coron","Negrepont",1406,2,1
"Negrepont","Crete",1406,2,1
"Crete","Constantinople",1406,2,1
"Constantinople","Caffa",1406,2,1
"Caffa","Tana",1406,2,12
"Tana","Trebizonde",1406,2,5
"Trebizonde","Caffa",1406,2,1
"Caffa","Constantinople",1406,2,1
"Venice","Cyprus",1406,1,1
"Venice","Modon",1407,1,1
"Modon","Acre",1407,1,1
"Acre","Beyrouth",1407,1,10
"Venice","Majorque",1407,1,1
"Majorque","Lisbon",1407,1,1
"Lisbon","Cadix",1407,1,1
"Cadix","Sluis",1407,1,1
"Sluis","Bruges",1407,1,60
"Bruges","Middlebourg",1407,1,1
"Middlebourg","Tripoli.Syria",1407,1,2
"Tripoli.Syria","Laodicée",1407,1,2
"Venice","Majorque",1407,2,1
"Majorque","Lisbon",1407,2,1
"Lisbon","Cadix",1407,2,1
"Cadix","London",1407,2,50
"Venice","Majorque",1407,1,1
"Majorque","Lisbon",1407,1,1
"Lisbon","Cadix",1407,1,1
"Cadix","Sluis",1407,1,1
"Sluis","Bruges",1407,1,60
"Venice","Rhodes",1407,1,1
"Rhodes","Beyrouth",1407,1,1
"Beyrouth","Jaffa",1407,1,2
"Jaffa","Acre",1407,1,1
"Acre","Beyrouth",1407,1,28
"Beyrouth","Tripoli.Syria",1407,1,1
"Venice","Rhodes",1407,1,1
"Rhodes","Beyrouth",1407,1,28
"Beyrouth","Tripoli.Syria",1407,1,1
"Tripoli.Syria","Laodicée",1407,1,1
"Laodicée","Beyrouth",1407,1,1
"Venice","Rhodes",1407,1,1
"Rhodes","Beyrouth",1407,1,28
"Beyrouth","Laodicée",1407,1,1
"Laodicée","Beyrouth",1407,1,1
"Venice","Alexandrie",1407,3,20
"Venice","Corfou",1407,2,1
"Corfou","Coron",1407,2,1
"Coron","Modon",1407,2,1
"Modon","Negrepont",1407,2,1
"Negrepont","Constantinople",1407,2,2
"Constantinople","Tana",1407,2,1
"Venice","Corfou",1407,1,1
"Corfou","Coron",1407,1,1
"Coron","Modon",1407,1,1
"Modon","Constantinople",1407,1,2
"Constantinople","Trebizonde",1407,1,12
"Venice","Majorque",1408,3,1
"Majorque","Lisbon",1408,3,1
"Lisbon","London",1408,3,50
"Venice","Majorque",1408,2,1
"Majorque","Lisbon",1408,2,1
"Lisbon","Sluis",1408,2,1
"Sluis","Bruges",1408,2,60
"Venice","Corfou",1408,2,1
"Corfou","Modon",1408,2,1
"Modon","Coron",1408,2,1
"Coron","Negrepont",1408,2,1
"Negrepont","Constantinople",1408,2,2
"Constantinople","Tana",1408,2,12
"Venice","Corfou",1408,1,1
"Corfou","Modon",1408,1,1
"Modon","Coron",1408,1,1
"Coron","Negrepont",1408,1,1
"Negrepont","Constantinople",1408,1,2
"Constantinople","Trebizonde",1408,1,1
"Venice","Modon",1408,4,1
"Modon","Alexandrie",1408,4,20
"Venice","Modon",1408,1,1
"Modon","Cyprus",1408,1,1
"Cyprus","Jaffa",1408,1,1
"Jaffa","Acre",1408,1,1
"Acre","Jaffa",1408,1,1
"Venice","Modon",1408,1,1
"Modon","Cyprus",1408,1,1
"Cyprus","Cyprus",1408,1,1
"Cyprus","Cyprus",1408,1,1
"Cyprus","Beyrouth",1408,1,28
"Beyrouth","Tripoli.Syria",1408,1,1
"Venice","Modon",1408,1,1
"Modon","Cyprus",1408,1,1
"Cyprus","Cyprus",1408,1,1
"Cyprus","Cyprus",1408,1,1
"Cyprus","Beyrouth",1408,1,28
"Beyrouth","Laodicée",1408,1,1
"Laodicée","Jaffa",1408,1,1
"Venice","Modon",1408,1,1
"Modon","Cyprus",1408,1,1
"Cyprus","Cyprus",1408,1,1
"Cyprus","Cyprus",1408,1,1
"Cyprus","Beyrouth",1408,1,28
"Venice","Cyprus",1408,1,1
"Cyprus","Jaffa",1408,1,1
"Venice","Messine",1409,2,2
"Messine","Majorque",1409,2,2
"Majorque","Valencia",1409,2,1
"Valencia","Caput.Doble",1409,2,1
"Caput.Doble","Bruges",1409,2,1
"Bruges","Sluis",1409,2,60
"Venice","Messine",1409,3,2
"Messine","Majorque",1409,3,2
"Majorque","Valencia",1409,3,1
"Valencia","Caput.Doble",1409,3,1
"Caput.Doble","London",1409,3,50
"Venice","Corfou",1409,2,1
"Corfou","Modon",1409,2,1
"Modon","Coron",1409,2,1
"Coron","Negrepont",1409,2,1
"Negrepont","Constantinople",1409,2,2
"Constantinople","Tana",1409,2,14
"Venice","Corfou",1409,1,1
"Corfou","Modon",1409,1,1
"Modon","Coron",1409,1,1
"Coron","Negrepont",1409,1,1
"Negrepont","Constantinople",1409,1,2
"Constantinople","Trebizonde",1409,1,12
"Venice","Zara",1409,1,1
"Zara","Modon",1409,1,1
"Modon","Cyprus",1409,1,1
"Cyprus","Cyprus",1409,1,1
"Cyprus","Rama",1409,1,1
"Rama","Beyrouth",1409,1,28
"Beyrouth","Jaffa",1409,1,1
"Jaffa","Acre",1409,1,1
"Venice","Zara",1409,1,1
"Zara","Modon",1409,1,1
"Modon","Cyprus",1409,1,1
"Cyprus","Cyprus",1409,1,1
"Cyprus","Rama",1409,1,1
"Rama","Beyrouth",1409,1,28
"Beyrouth","Tripoli.Syria",1409,1,1
"Tripoli.Syria","Laodicée",1409,1,1
"Laodicée","Tripoli.Syria",1409,1,1
"Tripoli.Syria","Beyrouth",1409,1,1
"Venice","Zara",1409,1,1
"Zara","Modon",1409,1,1
"Modon","Coron",1409,1,1
"Coron","Cyprus",1409,1,1
"Cyprus","Cyprus",1409,1,1
"Cyprus","Jaffa",1409,1,1
"Jaffa","Acre",1409,1,1
"Acre","Beyrouth",1409,1,28
"Venice","Zara",1409,4,1
"Zara","Alexandrie",1409,4,20
"Venice","Istrie",1410,2,1
"Istrie","Zara",1410,2,1
"Zara","Sclavonie",1410,2,1
"Sclavonie","Messine",1410,2,2
"Messine","Majorque",1410,2,2
"Majorque","Valencia",1410,2,2
"Valencia","Cadix",1410,2,2
"Cadix","Bruges",1410,2,1
"Bruges","Sluis",1410,2,50
"Venice","Istrie",1410,2,1
"Istrie","Zara",1410,2,1
"Zara","Sclavonie",1410,2,1
"Sclavonie","Messine",1410,2,2
"Messine","Majorque",1410,2,2
"Majorque","Valencia",1410,2,2
"Valencia","Cadix",1410,2,2
"Cadix","London",1410,2,50
"Venice","Alexandrie",1410,4,20
"Venice","Corfou",1410,2,1
"Corfou","Modon",1410,2,1
"Modon","Coron",1410,2,1
"Coron","Negrepont",1410,2,1
"Negrepont","Constantinople",1410,2,2
"Constantinople","Tana",1410,2,14
"Venice","Corfou",1410,1,1
"Corfou","Modon",1410,1,1
"Modon","Coron",1410,1,1
"Coron","Negrepont",1410,1,1
"Negrepont","Constantinople",1410,1,2
"Constantinople","Trebizonde",1410,1,12
"Venice","Rhodes",1410,1,1
"Rhodes","Cyprus",1410,1,1
"Cyprus","Cyprus",1410,1,1
"Cyprus","Beyrouth",1410,1,1
"Beyrouth","Jaffa",1410,1,1
"Jaffa","Beyrouth",1410,1,28
"Venice","Cyprus",1410,3,1
"Cyprus","Cyprus",1410,3,1
"Cyprus","Beyrouth",1410,3,28
"Beyrouth","Rhodes",1410,3,1
"Venice","Crete",1410,1,1
"Crete","Jerusalem",1410,1,1
"Venice","Rhodes",1410,1,1
"Rhodes","Beyrouth",1410,1,1
"Venice","Jaffa",1410,1,1
"Venice","Messine",1411,2,2
"Messine","Majorque",1411,2,2
"Majorque","Cadix",1411,2,2
"Cadix","Sluis",1411,2,1
"Sluis","Bruges",1411,2,50
"Venice","Messine",1411,2,2
"Messine","Majorque",1411,2,2
"Majorque","Cadix",1411,2,2
"Cadix","Sluis",1411,2,1
"Sluis","London",1411,2,50
"Venice","Corfou",1411,1,1
"Corfou","Modon",1411,1,1
"Modon","Coron",1411,1,1
"Coron","Negrepont",1411,1,1
"Negrepont","Constantinople",1411,1,2
"Constantinople","Trebizonde",1411,1,1
"Venice","Corfou",1411,2,1
"Corfou","Modon",1411,2,1
"Modon","Coron",1411,2,1
"Coron","Negrepont",1411,2,1
"Negrepont","Constantinople",1411,2,2
"Constantinople","Tana",1411,2,1
"Venice","Cyprus",1411,3,1
"Cyprus","Cyprus",1411,3,1
"Cyprus","Beyrouth",1411,3,28
"Beyrouth","Tripoli.Syria",1411,3,1
"Tripoli.Syria","Laodicée",1411,3,1
"Laodicée","Rhodes",1411,3,1
"Rhodes","Modon",1411,3,1
"Modon","Corfou",1411,3,1
"Venice","Cyprus",1411,1,1
"Cyprus","Cyprus",1411,1,1
"Cyprus","Beyrouth",1411,1,1
"Beyrouth","Jaffa",1411,1,1
"Jaffa","Rama",1411,1,1
"Rama","Rhodes",1411,1,1
"Rhodes","Modon",1411,1,1
"Modon","Corfou",1411,1,1
"Venice","Alexandrie",1411,4,20
"Venice","Jerusalem",1411,2,1
"Venice","Corfou",1412,2,1
"Corfou","Modon",1412,2,1
"Modon","Coron",1412,2,1
"Coron","Negrepont",1412,2,1
"Negrepont","Crete",1412,2,1
"Crete","Constantinople",1412,2,1
"Constantinople","Caffa",1412,2,1
"Venice","Corfou",1412,1,1
"Corfou","Modon",1412,1,1
"Modon","Coron",1412,1,1
"Coron","Negrepont",1412,1,1
"Venice","Messine",1412,2,1
"Messine","Palerme",1412,2,1
"Palerme","Cadix",1412,2,1
"Cadix","London",1412,2,50
"Venice","Messine",1412,2,1
"Messine","Palerme",1412,2,1
"Palerme","Cadix",1412,2,1
"Cadix","Bruges",1412,2,50
"Venice","Aigues.Mortes",1412,1,15
"Aigues.Mortes","Flanders",1412,1,1
"Venice","Cyprus",1412,1,1
"Cyprus","Beyrouth",1412,1,28
"Beyrouth","Tripoli.Syria",1412,1,1
"Tripoli.Syria","Laodicée",1412,1,1
"Venice","Cyprus",1412,1,1
"Cyprus","Beyrouth",1412,1,28
"Beyrouth","Tripoli.Syria",1412,1,1
"Tripoli.Syria","Laodicée",1412,1,1
"Laodicée","Damas",1412,1,1
"Venice","Cyprus",1412,1,1
"Cyprus","Beyrouth",1412,1,28
"Beyrouth","Tripoli.Syria",1412,1,1
"Tripoli.Syria","Laodicée",1412,1,1
"Venice","Alexandrie",1412,1,1
"Venice","Corfou",1412,1,1
"Corfou","Rovigno",1412,1,1
"Venice","Messine",1413,1,1
"Messine","Majorque",1413,1,1
"Majorque","Cadix",1413,1,2
"Cadix","Sluis",1413,1,1
"Sluis","London",1413,1,50
"Venice","Messine",1413,1,1
"Messine","Majorque",1413,1,1
"Majorque","Cadix",1413,1,2
"Cadix","Bruges",1413,1,50
"Venice","Messine",1413,1,1
"Messine","Majorque",1413,1,1
"Majorque","Cadix",1413,1,2
"Cadix","London",1413,1,50
"Venice","Messine",1413,1,1
"Messine","Majorque",1413,1,1
"Majorque","Cadix",1413,1,2
"Cadix","Sluis",1413,1,1
"Sluis","Bruges",1413,1,1
"Venice","Aigues.Mortes",1413,1,15
"Aigues.Mortes","Flanders",1413,1,1
"Venice","Corfou",1413,3,1
"Corfou","Modon",1413,3,1
"Modon","Coron",1413,3,1
"Coron","Negrepont",1413,3,1
"Negrepont","Gallipoli",1413,3,1
"Gallipoli","Crete",1413,3,1
"Venice","Alexandrie",1413,3,20
"Venice","Cyprus",1413,1,1
"Cyprus","Cyprus",1413,1,1
"Cyprus","Jaffa",1413,1,2
"Jaffa","Beyrouth",1413,1,28
"Beyrouth","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Laodicée",1413,1,1
"Laodicée","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Beyrouth",1413,1,1
"Beyrouth","Modon",1413,1,1
"Modon","Corfou",1413,1,1
"Venice","Cyprus",1413,1,1
"Cyprus","Beyrouth",1413,1,28
"Beyrouth","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Laodicée",1413,1,1
"Laodicée","Damas",1413,1,1
"Damas","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Beyrouth",1413,1,1
"Beyrouth","Modon",1413,1,1
"Modon","Corfou",1413,1,1
"Venice","Cyprus",1413,1,1
"Cyprus","Beyrouth",1413,1,28
"Beyrouth","Acre",1413,1,1
"Acre","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Laodicée",1413,1,1
"Laodicée","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Beyrouth",1413,1,1
"Beyrouth","Modon",1413,1,1
"Modon","Corfou",1413,1,1
"Venice","Cyprus",1413,1,1
"Cyprus","Beyrouth",1413,1,28
"Beyrouth","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Laodicée",1413,1,1
"Laodicée","Tripoli.Syria",1413,1,1
"Tripoli.Syria","Beyrouth",1413,1,1
"Beyrouth","Modon",1413,1,1
"Modon","Corfou",1413,1,1
"Venice","Jerusalem",1413,1,1
"Venice","Syria",1413,1,1
"Syria","Cyprus",1413,1,1
"Venice","Jaffa",1413,1,1
"Venice","Corfou",1414,1,1
"Corfou","Modon",1414,1,1
"Modon","Rhodes",1414,1,1
"Rhodes","Beyrouth",1414,1,4
"Beyrouth","Modon",1414,1,1
"Modon","Corfou",1414,1,1
"Venice","Zara",1414,1,1
"Zara","Palerme",1414,1,1
"Palerme","Gaete",1414,1,1
"Gaete","Aigues.Mortes",1414,1,18
"Aigues.Mortes","Flanders",1414,1,1
"Venice","Messine",1414,2,1
"Messine","Majorque",1414,2,1
"Majorque","Cadix",1414,2,2
"Cadix","Sluis",1414,2,1
"Sluis","Bruges",1414,2,50
"Venice","Messine",1414,2,1
"Messine","Majorque",1414,2,1
"Majorque","Cadix",1414,2,2
"Cadix","London",1414,2,1
"Venice","Beyrouth",1414,1,1
"Beyrouth","Acre",1414,1,1
"Acre","Rama",1414,1,1
"Venice","Corfou",1414,2,1
