"start","end","year","ships","days"
"Sicily","Lisbon",1336,8,1
"Lisbon","Cadix",1336,8,2
"Cadix","Flanders",1336,8,45
"Venice","Ragusa",1337,8,1
"Ragusa","Tana",1337,8,1
"Venice","Ragusa",1337,4,1
"Ragusa","Romanie",1337,4,1
"Romanie","Crete",1337,4,1
"Crete","Cyprus",1337,4,1
"Venice","Crete",1338,8,1
"Crete","Cyprus",1338,8,15
"Venice","Constantinople",1338,10,1
"Constantinople","Trebizonde",1338,10,8
"Trebizonde","Tana",1338,10,2
"Venice","Ragusa",1339,7,1
"Ragusa","Trebizonde",1339,7,8
"Venice","Ragusa",1339,3,1
"Ragusa","Trebizonde",1339,3,7
"Venice","Ragusa",1339,8,1
"Ragusa","Cyprus",1339,8,16
"Venice","Ragusa",1340,6,1
"Ragusa","Cyprus",1340,6,16
"Venice","Ragusa",1340,8,1
"Ragusa","Modon",1340,8,1
"Modon","Coron",1340,8,1
"Coron","Constantinople",1340,8,1
"Constantinople","Trebizonde",1340,8,8
"Venice","Cyprus",1341,1,16
"Venice","Modon",1341,1,1
"Modon","Tana",1341,1,10
"Venice","Modon",1341,2,1
"Modon","Trebizonde",1341,2,8
"Venice","Negrepont",1342,6,1
"Negrepont","Constantinople",1342,6,1
"Constantinople","Tana",1342,6,1
"Venice","Negrepont",1342,2,1
"Negrepont","Constantinople",1342,2,1
"Constantinople","Trebizonde",1342,2,1
"Venice","Cyprus",1342,7,16
"Venice","Cyprus",1343,7,16
"Venice","Modon",1343,2,1
"Modon","Coron",1343,2,1
"Coron","Constantinople",1343,2,1
"Constantinople","Trebizonde",1343,2,6
"Venice","Modon",1343,5,1
"Modon","Coron",1343,5,1
"Coron","Constantinople",1343,5,1
"Constantinople","Tana",1343,5,10
"Venice","Ragusa",1344,2,1
"Ragusa","Cyprus",1344,2,1
"Cyprus","Cyprus",1344,2,1
"Venice","Cyprus",1344,1,1
"Venice","Ragusa",1344,2,1
"Ragusa","Constantinople",1344,2,2
"Constantinople","Trebizonde",1344,2,8
"Venice","Constantinople",1344,3,1
"Constantinople","Trebizonde",1344,3,8
"Trebizonde","Romanie",1344,3,1
"Venice","Crete",1344,11,1
"Crete","Cyprus",1344,11,16
"Venice","Ragusa",1345,2,1
"Ragusa","Romanie",1345,2,1
"Romanie","Crete",1345,2,1
"Crete","Alexandrie",1345,2,1
"Alexandrie","Beyrouth",1345,2,1
"Venice","Modon",1345,4,1
"Modon","Cap.Malee",1345,4,1
"Cap.Malee","Negrepont",1345,4,1
"Negrepont","Constantinople",1345,4,1
"Venice","Crete",1345,8,1
"Crete","Cyprus",1345,8,16
"Venice","Constantinople",1346,4,1
"Venice","Clarence",1346,3,1
"Clarence","Crete",1346,3,1
"Crete","Alexandrie",1346,3,15
"Venice","Crete",1346,9,1
"Crete","Cyprus",1346,9,12
"Venice","Crete",1347,6,1
"Crete","Cyprus",1347,6,16
"Venice","Constantinople",1347,3,12
"Constantinople","Black.Sea",1347,3,1
"Venice","Alexandrie",1347,2,20
"Venice","Cyprus",1348,5,16
"Venice","Crete",1348,3,1
"Crete","Alexandrie",1348,3,20
"Venice","Negrepont",1348,3,1
"Negrepont","Constantinople",1348,3,8
"Constantinople","Black.Sea",1348,3,1
"Black.Sea","Vospero",1348,3,1
"Venice","Zara",1349,5,1
"Zara","Ragusa",1349,5,1
"Ragusa","Modon",1349,5,1
"Modon","Negrepont",1349,5,1
"Negrepont","Crete",1349,5,1
"Crete","Constantinople",1349,5,2
"Constantinople","Tana",1349,5,8
"Venice","Romanie",1349,3,1
"Romanie","Negrepont",1349,3,1
"Negrepont","Crete",1349,3,1
"Crete","Cyprus",1349,3,2
"Venice","Modon",1349,3,1
"Modon","Crete",1349,3,1
"Crete","Alexandrie",1349,3,20
"Venice","Alexandrie",1350,3,1
"Venice","Cyprus",1350,8,1
"Venice","Negrepont",1350,5,2
"Negrepont","Crete",1350,5,1
"Crete","Constantinople",1350,5,2
"Constantinople","Tana",1350,5,12
"Venice","Constantinople",1350,1,1
"Constantinople","Tana",1350,1,1
"Venice","Modon",1355,3,1
"Modon","Coron",1355,3,1
"Coron","Crete",1355,3,1
"Crete","Alexandrie",1355,3,15
"Venice","Crete",1355,1,1
"Crete","Alexandrie",1355,1,15
"Venice","Modon",1355,2,1
"Modon","Coron",1355,2,1
"Coron","Constantinople",1355,2,10
"Venice","Modon",1355,3,1
"Modon","Coron",1355,3,1
"Coron","Crete",1355,3,1
"Crete","Cyprus",1355,3,15
"Venice","Cyprus",1355,1,1
"Venice","Zara",1356,4,1
"Zara","Coron",1356,4,1
"Coron","Crete",1356,4,1
"Crete","Cyprus",1356,4,15
"Venice","Coron",1356,3,1
"Coron","Crete",1356,3,1
"Crete","Alexandrie",1356,3,15
"Venice","Coron",1356,2,1
"Coron","Constantinople",1356,2,3
"Constantinople","Black.Sea",1356,2,15
"Venice","Romanie",1356,1,1
"Venice","Modon",1357,4,1
"Modon","Crete",1357,4,1
"Crete","Romanie",1357,4,1
"Romanie","Alexandrie",1357,4,15
"Venice","Modon",1357,1,1
"Modon","Crete",1357,1,1
"Crete","Alexandrie",1357,1,15
"Venice","Flanders",1357,4,1
"Flanders","Brabant",1357,4,45
"Venice","Flanders",1357,1,1
"Flanders","Brabant",1357,1,45
"Brabant","Sluis",1357,1,1
"Venice","Ragusa",1357,2,1
"Ragusa","Negrepont",1357,2,10
"Negrepont","Constantinople",1357,2,3
"Constantinople","Black.Sea",1357,2,1
"Venice","Zara",1357,1,1
"Zara","Ragusa",1357,1,1
"Ragusa","Negrepont",1357,1,10
"Negrepont","Constantinople",1357,1,3
"Constantinople","Black.Sea",1357,1,1
"Venice","Modon",1357,1,1
"Modon","Cap.Malee",1357,1,1
"Cap.Malee","Cyprus",1357,1,15
"Venice","Flanders",1358,6,1
"Flanders","Brabant",1358,6,45
"Venice","Constantinople",1358,4,2
"Venice","Cyprus",1358,3,1
"Venice","Cyprus",1358,1,15
"Venice","Flanders",1359,6,1
"Flanders","Brabant",1359,6,45
"Venice","Ragusa",1359,6,1
"Ragusa","Modon",1359,6,1
"Modon","Coron",1359,6,1
"Coron","Cap.Malee",1359,6,1
"Cap.Malee","Crete",1359,6,1
"Crete","Alexandrie",1359,6,20
"Venice","Ragusa",1359,3,1
"Ragusa","Cap.Malee",1359,3,1
"Cap.Malee","Cyprus",1359,3,15
"Venice","Constantinople",1359,4,2
"Constantinople","Tana",1359,4,1
"Venice","Constantinople",1360,5,2
"Constantinople","Tana",1360,5,10
"Venice","Negrepont",1360,1,1
"Negrepont","Constantinople",1360,1,2
"Constantinople","Tana",1360,1,10
"Venice","Ragusa",1360,5,1
"Ragusa","Modon",1360,5,1
"Modon","Crete",1360,5,1
"Crete","Cyprus",1360,5,1
"Venice","Cyprus",1361,5,1
"Venice","Modon",1361,3,1
"Modon","Constantinople",1361,3,2
"Constantinople","Tana",1361,3,10
"Venice","Cap.Malee",1361,5,1
"Cap.Malee","Cyprus",1361,5,1
"Cyprus","Alexandrie",1361,5,20
"Venice","Cap.Malee",1361,5,1
"Cap.Malee","Crete",1361,5,1
"Crete","Cyprus",1361,5,15
"Venice","Coron",1362,4,1
"Coron","Cyprus",1362,4,15
"Cyprus","Cyprus",1362,4,1
"Venice","Modon",1362,2,1
"Modon","Crete",1362,2,1
"Crete","Alexandrie",1362,2,20
"Venice","Pula",1362,2,1
"Pula","Crete",1362,2,1
"Crete","Alexandrie",1362,2,20
"Venice","Ragusa",1362,1,1
"Ragusa","Coron",1362,1,1
"Coron","Monemvasia",1362,1,1
"Monemvasia","Constantinople",1362,1,1
"Constantinople","Tana",1362,1,10
"Tana","Cembalo",1362,1,1
"Venice","Negrepont",1363,5,1
"Negrepont","Romanie",1363,5,1
"Romanie","Constantinople",1363,5,2
"Constantinople","Tana",1363,5,10
"Venice","Pula",1363,1,1
"Pula","Negrepont",1363,1,1
"Negrepont","Romanie",1363,1,1
"Romanie","Constantinople",1363,1,2
"Constantinople","Tana",1363,1,10
"Venice","Crete",1363,2,1
"Crete","Alexandrie",1363,2,20
"Venice","Pula",1363,2,1
"Pula","Crete",1363,2,1
"Crete","Alexandrie",1363,2,20
"Venice","Crete",1363,4,1
"Crete","Cyprus",1363,4,15
"Cyprus","Cyprus",1363,4,1
"Venice","Cyprus",1363,1,1
"Venice","Cyprus",1364,4,15
"Venice","Negrepont",1364,5,1
"Negrepont","Crete",1364,5,1
"Crete","Constantinople",1364,5,2
"Venice","Alexandrie",1364,4,20
"Venice","Crete",1365,4,1
"Venice","Crete",1365,2,1
"Crete","Cyprus",1365,2,1
"Venice","Crete",1365,1,1
"Crete","Cyprus",1365,1,1
"Cyprus","Beyrouth",1365,1,1
"Venice","Crete",1365,1,1
"Crete","Cyprus",1365,1,1
"Cyprus","Cyprus",1365,1,1
"Cyprus","Beyrouth",1365,1,1
"Venice","Negrepont",1365,4,1
"Negrepont","Constantinople",1365,4,2
"Constantinople","Tana",1365,4,8
"Tana","Trebizonde",1365,4,4
"Venice","Flanders",1366,1,1
"Venice","Crete",1366,2,1
"Crete","Alexandrie",1366,2,15
"Venice","Crete",1366,2,1
"Crete","Alexandrie",1366,2,20
"Venice","Crete",1366,1,1
"Crete","Cyprus",1366,1,2
"Cyprus","Beyrouth",1366,1,18
"Venice","Crete",1366,1,1
"Crete","Cyprus",1366,1,2
"Cyprus","Beyrouth",1366,1,18
"Beyrouth","Damas",1366,1,1
"Venice","Crete",1366,1,2
"Crete","Cyprus",1366,1,2
"Cyprus","Beyrouth",1366,1,18
"Venice","Negrepont",1366,5,1
"Negrepont","Constantinople",1366,5,2
"Constantinople","Tana",1366,5,8
"Tana","Trebizonde",1366,5,4
"Venice","Pula",1366,1,1
"Pula","Constantinople",1366,1,1
"Constantinople","Black.Sea",1366,1,1
"Venice","Constantinople",1367,3,1
"Constantinople","Tana",1367,3,8
"Venice","Constantinople",1367,2,1
"Constantinople","Trebizonde",1367,2,4
"Venice","Modon",1367,4,1
"Modon","Romanie",1367,4,1
"Romanie","Crete",1367,4,1
"Crete","Crete",1367,4,1
"Crete","Cyprus",1367,4,1
"Venice","Alexandrie",1367,4,1
"Venice","Cap.Malee",1368,3,1
"Cap.Malee","Cyprus",1368,3,15
"Cyprus","Beyrouth",1368,3,8
"Venice","Crete",1368,4,1
"Venice","Cap.Malee",1368,3,1
"Cap.Malee","Constantinople",1368,3,2
"Constantinople","Tana",1368,3,8
"Venice","Cap.Malee",1368,1,1
"Cap.Malee","Constantinople",1368,1,2
"Constantinople","Trebizonde",1368,1,2
"Venice","Pula",1368,1,1
"Pula","Romanie",1368,1,1
"Romanie","Tana",1368,1,1
"Tana","Trebizonde",1368,1,1
"Venice","Crete",1369,3,2
"Crete","Rhodes",1369,3,1
"Rhodes","Cyprus",1369,3,10
"Venice","Modon",1370,4,1
"Modon","Crete",1370,4,1
"Crete","Rhodes",1370,4,1
"Rhodes","Cyprus",1370,4,1
"Venice","Negrepont",1370,4,1
"Negrepont","Constantinople",1370,4,1
"Constantinople","Tana",1370,4,1
"Tana","Trebizonde",1370,4,1
"Venice","Cyprus",1371,4,1
"Venice","Alexandrie",1371,1,1
"Venice","Tana",1371,3,1
"Venice","Trebizonde",1371,2,14
"Venice","Coron",1372,2,1
"Coron","Cap.Malee",1372,2,1
"Cap.Malee","Constantinople",1372,2,1
"Constantinople","Tana",1372,2,2
"Venice","Coron",1372,2,1
"Coron","Cap.Malee",1372,2,1
"Cap.Malee","Constantinople",1372,2,1
"Constantinople","Trebizonde",1372,2,2
"Venice","Cap.Malee",1372,4,1
"Cap.Malee","Cyprus",1372,4,15
"Venice","Cap.Malee",1372,4,1
"Cap.Malee","Alexandrie",1372,4,15
"Alexandrie","Crete",1372,4,1
"Venice","Negrepont",1373,2,1
"Negrepont","Constantinople",1373,2,1
"Constantinople","Trebizonde",1373,2,1
"Venice","Negrepont",1373,2,1
"Negrepont","Constantinople",1373,2,1
"Constantinople","Tana",1373,2,1
"Venice","Modon",1373,1,2
"Modon","Coron",1373,1,2
"Coron","Crete",1373,1,4
"Crete","Alexandrie",1373,1,1
"Venice","Modon",1373,1,1
"Modon","Alexandrie",1373,1,1
"Venice","Alexandrie",1373,1,1
"Alexandrie","Beyrouth",1373,1,1
"Venice","Flanders",1374,4,1
"Flanders","Brabant",1374,4,35
"Venice","Modon",1374,3,1
"Modon","Negrepont",1374,3,1
"Negrepont","Romanie",1374,3,1
"Romanie","Constantinople",1374,3,2
"Constantinople","Tana",1374,3,12
"Venice","Modon",1374,1,1
"Modon","Negrepont",1374,1,1
"Negrepont","Romanie",1374,1,1
"Romanie","Constantinople",1374,1,2
"Venice","Crete",1374,2,1
"Crete","Beyrouth",1374,2,22
"Venice","Crete",1374,2,1
"Crete","Beyrouth",1374,2,15
"Venice","Crete",1374,2,1
"Crete","Beyrouth",1374,2,15
"Venice","Modon",1374,1,2
"Modon","Coron",1374,1,2
